timeStamp,x,y,yaw
1.862060,-3.857046,2.506910,-1.543343
2.863747,-3.859911,2.488593,-1.560797
3.866279,-3.881429,2.506667,-1.543343
5.068350,-3.856863,2.488623,-1.560797
5.870744,-3.884507,2.509684,-1.543343
6.872700,-3.872316,2.509806,-1.543343
7.874681,-3.869268,2.509836,-1.543343
8.879734,-3.869268,2.509836,-1.543343
9.882033,-3.857077,2.509958,-1.543343
10.883791,-3.856863,2.488623,-1.560797
11.887030,-3.857107,2.513006,-1.543343
12.888700,-3.869268,2.509836,-1.543343
13.891638,-3.869055,2.488501,-1.560797
14.893411,-3.860125,2.509928,-1.543343
15.894288,-3.881459,2.509714,-1.543343
16.893878,-3.872316,2.509806,-1.543343
17.894330,-3.859911,2.488593,-1.560797
18.894253,-3.856863,2.488623,-1.560797
19.894279,-3.872316,2.509806,-1.543343
20.894564,-3.859911,2.488593,-1.560797
21.894801,-3.884507,2.509684,-1.543343
22.895393,-3.860125,2.509928,-1.543343
23.895511,-3.884294,2.488349,-1.560797
24.896469,-3.869268,2.509836,-1.543343
25.896609,-3.860125,2.509928,-1.543343
26.897262,-3.859911,2.488593,-1.560797
27.897009,-3.872316,2.509806,-1.543343
28.897007,-3.859911,2.488593,-1.560797
29.897354,-3.881246,2.488379,-1.560797
30.897273,-3.859911,2.488593,-1.560797
31.897458,-3.859911,2.488593,-1.560797
32.898929,-3.859911,2.488593,-1.560797
33.900913,-3.860125,2.509928,-1.543343
34.902966,-3.860125,2.509928,-1.543343
35.905007,-3.859911,2.488593,-1.560797
36.906906,-3.872316,2.509806,-1.543343
37.908682,-3.884294,2.488349,-1.560797
38.910921,-3.884294,2.488349,-1.560797
39.912962,-3.860125,2.509928,-1.543343
40.921466,-3.872316,2.509806,-1.543343
41.923954,-3.856863,2.488623,-1.560797
42.925697,-3.872316,2.509806,-1.543343
43.928164,-3.872316,2.509806,-1.543343
44.929695,-3.859911,2.488593,-1.560797
45.933028,-3.872316,2.509806,-1.543343
46.834933,-3.859911,2.488593,-1.560797
47.836765,-3.859911,2.488593,-1.560797
48.839120,-3.859911,2.488593,-1.560797
49.840802,-3.872316,2.509806,-1.543343
50.842734,-3.859911,2.488593,-1.560797
51.844700,-3.872316,2.509806,-1.543343
52.846973,-3.872316,2.509806,-1.543343
53.848910,-3.860125,2.509928,-1.543343
54.850911,-3.859911,2.488593,-1.560797
55.853261,-3.859911,2.488593,-1.560797
56.854780,-3.859911,2.488593,-1.560797
57.856820,-3.859911,2.488593,-1.560797
58.858808,-3.872316,2.509806,-1.543343
59.860801,-3.872316,2.509806,-1.543343
60.863016,-3.859911,2.488593,-1.560797
62.064897,-3.859911,2.488593,-1.560797
62.867914,-3.859911,2.488593,-1.560797
63.869713,-3.859911,2.488593,-1.560797
64.871667,-3.859911,2.488593,-1.560797
65.873772,-3.859911,2.488593,-1.560797
66.876070,-3.859911,2.488593,-1.560797
67.878404,-3.859911,2.488593,-1.560797
68.879983,-3.884294,2.488349,-1.560797
69.882126,-3.884294,2.488349,-1.560797
70.882548,-3.872316,2.509806,-1.543343
71.883729,-3.860094,2.506880,-1.543343
72.886159,-3.859911,2.488593,-1.560797
73.888042,-3.859911,2.488593,-1.560797
74.890019,-3.860125,2.509928,-1.543343
75.891948,-3.859911,2.488593,-1.560797
76.891944,-3.860125,2.509928,-1.543343
77.893835,-3.859911,2.488593,-1.560797
78.895900,-3.860125,2.509928,-1.543343
79.897820,-3.860125,2.509928,-1.543343
80.899769,-3.881246,2.488379,-1.560797
81.901865,-3.860125,2.509928,-1.543343
82.908830,-3.859911,2.488593,-1.560797
83.911838,-3.884294,2.488349,-1.560797
84.914098,-3.872316,2.509806,-1.543343
85.915821,-3.859911,2.488593,-1.560797
86.917821,-3.860125,2.509928,-1.543343
88.119848,-3.869268,2.509836,-1.543343
88.921867,-3.884477,2.506636,-1.543343
90.126362,-3.860125,2.509928,-1.543343
90.927185,-3.856863,2.488623,-1.560797
91.927441,-3.867592,2.342205,-1.525890
92.928387,-3.579722,2.207917,-1.438624
93.929210,-3.503922,1.943485,-1.403717
94.929206,-3.479143,1.904107,-1.264091
95.929389,-3.442752,1.922760,-1.124464
96.930420,-3.412548,1.950495,-0.984838
97.931564,-3.364361,1.704077,-0.845212
98.932391,-3.334523,1.768387,-0.635772
99.933203,-3.310079,1.762535,-0.513599
100.933188,-3.295267,1.805357,-0.373973
101.933361,-3.304349,2.103985,-0.216893
102.934178,-3.305416,1.905845,-0.024907
104.134188,-3.302673,1.936354,0.079813
104.935203,-3.122576,2.215536,0.097267
105.935193,-2.427941,2.249916,0.114720
106.935404,-2.077804,2.289996,0.114720
107.936177,-1.861346,2.286064,0.044907
108.936208,-1.275763,2.252294,-0.007454
109.938207,-0.831112,1.985455,0.044907
110.938187,-0.502219,2.016178,0.027454
111.938428,0.513080,1.989753,0.010000
112.939416,0.848221,2.005297,0.010000
113.940205,1.172177,2.224956,-0.007454
114.940193,1.684886,2.163024,-0.024907
115.940191,2.037979,1.907462,-0.007454
116.941125,2.541971,2.107584,-0.024907
117.941487,3.282263,2.148516,0.010000
118.942418,3.287993,2.185152,0.201987
119.943259,3.293692,2.224834,0.324160
120.943182,3.269065,2.248973,0.446333
121.943204,3.232125,2.285182,0.620866
122.943400,3.222769,2.306425,0.743039
123.944390,3.409571,2.524712,0.795398
124.945522,3.554313,2.681616,0.865212
125.945411,3.511430,2.702524,1.039745
126.947428,3.468455,2.732575,1.196824
127.947364,3.443981,2.741475,1.301544
128.948397,3.389029,2.750070,1.476077
129.949394,3.361628,2.746748,1.598250
130.950396,3.342793,2.801426,1.650610
132.352402,3.348827,2.807583,1.580797
132.953279,3.370223,3.411331,1.563343
133.953189,3.369918,3.746625,1.545890
134.953389,3.365529,4.185515,1.545890
135.954402,3.395825,4.508922,1.528437
136.955461,3.431332,5.225593,1.545890
137.956352,3.464431,5.573413,1.545890
138.957410,3.480981,6.052139,1.545890
139.958392,3.469460,6.594595,1.528437
140.959409,3.504022,7.100934,1.528437
141.960396,3.492654,7.323335,1.580797
142.861574,3.446479,7.673411,1.615703
143.862469,3.430630,8.343846,1.633157
144.863195,3.386558,8.788435,1.633157
145.863390,3.387015,9.047533,1.615703
146.868049,3.390642,9.599285,1.615703
147.869776,3.353702,9.940308,1.633157
148.871889,3.329959,10.790505,1.615703
149.873886,3.312372,11.025037,1.615703
150.875866,3.281132,11.710559,1.633157
151.877828,2.733890,13.701626,1.615703
152.879855,2.743247,14.290013,1.615703
154.181858,2.720296,14.756151,1.615703
154.883724,2.705270,15.039479,1.615703
155.886089,2.670372,15.481112,1.615703
156.887967,3.203045,14.642101,1.615703
157.889864,3.184758,14.946733,1.615703
158.891873,3.185916,15.440546,1.615703
159.893875,3.148366,16.147341,1.615703
160.895960,3.096613,16.445543,1.615703
161.897842,3.092102,16.896624,1.615703
162.899972,3.108043,17.436307,1.598250
163.901960,3.118131,17.951545,1.598250
164.903772,3.118100,18.259408,1.598250
165.905946,3.113924,18.981779,1.598250
166.907992,3.125780,19.320242,1.598250
167.909696,3.121026,19.795706,1.580797
168.912441,3.118404,20.362637,1.580797
169.914790,3.150071,20.853706,1.580797
170.916896,3.164884,21.201343,1.580797
171.918850,3.162597,22.039562,1.580797
172.920854,3.147541,22.325938,1.563343
173.922862,3.127852,22.770771,1.580797
174.924819,3.142055,23.484181,1.563343
175.926883,3.169333,23.804510,1.545890
176.928978,3.188595,24.316792,1.545890
177.930832,2.714167,24.818041,1.563343
178.932925,3.219988,24.835292,1.563343
179.934862,3.226144,24.829257,1.406264
180.936845,3.268875,24.823588,1.284091
181.938726,3.308649,24.808745,1.161918
182.940692,2.836416,24.785734,0.952478
183.942830,2.836416,24.785734,0.952478
184.944829,2.836416,24.785734,0.952478
185.946693,2.836416,24.785734,0.952478
186.948881,2.836416,24.785734,0.952478
187.950883,3.459762,24.633464,0.236893
188.952900,3.478476,24.590977,0.079813
189.954815,3.506028,24.579060,0.027454
190.956881,3.719316,24.587289,0.027454
191.958689,4.025046,24.495853,0.027454
192.960833,4.000359,24.526088,-0.164533
193.962709,4.004808,24.385918,-0.286706
194.966869,3.985973,24.440596,-0.426333
195.968907,3.975122,24.306369,-0.548506
196.970679,3.963297,24.269673,-0.723039
197.972867,3.954489,24.236055,-0.845212
198.974723,4.044309,24.093690,-0.932478
199.976954,4.026143,24.081316,-1.107011
200.979021,4.007978,24.068941,-1.281544
201.980886,3.989722,24.065711,-1.438624
202.882854,3.971435,24.065528,-1.560797
203.883534,4.014318,23.739804,-1.578250
204.885701,3.965248,23.464980,-1.578250
205.887951,3.951228,22.733283,-1.578250
207.189751,3.952234,22.327889,-1.578250
207.892070,3.914898,21.489274,-1.595703
209.194012,3.908711,21.193541,-1.525890
209.896679,3.936050,20.898144,-1.490984
210.897193,3.945621,20.550750,-1.508437
211.897222,3.945316,20.276413,-1.508437
212.897432,4.010540,19.545509,-1.473530
213.898440,4.066925,19.088850,-1.473530
214.899234,4.104109,18.723443,-1.473530
215.899216,4.104719,18.052856,-1.490984
216.900874,4.135441,17.723963,-1.490984
217.901446,4.194722,17.282574,-1.490984
218.903318,4.194997,16.645512,-1.473530
219.904767,4.226847,16.203849,-1.490984
220.905335,4.231266,15.761911,-1.490984
221.906250,4.242422,15.256029,-1.490984
222.906925,4.279849,14.866240,-1.473530
223.907186,4.315448,14.354506,-1.508437
224.907425,4.371712,13.910039,-1.490984
225.908359,4.381038,13.587028,-1.560797
226.909415,4.365738,13.592971,-1.648063
227.910364,4.365738,13.592971,-1.648063
228.911354,4.365738,13.592971,-1.648063
229.912399,4.174303,12.009066,-1.648063
230.913362,4.164063,11.813882,-1.578250
231.914225,4.214169,11.375449,-1.578250
232.914194,4.187166,10.722874,-1.613157
233.914782,4.136937,10.259053,-1.595703
234.915734,4.198382,9.906081,-1.595703
235.916414,4.155529,9.923942,-1.560797
236.917503,4.158394,9.942259,-1.560797
237.918387,4.152451,9.926959,-1.560797
238.919410,4.146508,9.911659,-1.560797
239.920410,4.152451,9.926959,-1.560797
240.921204,4.152481,9.923911,-1.560797
241.921255,4.152481,9.923911,-1.560797
242.922198,4.149403,9.926929,-1.560797
243.922920,4.149403,9.926929,-1.560797
244.923602,4.192225,9.912116,-1.595703
245.924659,4.149434,9.923881,-1.560797
246.925206,4.149403,9.926929,-1.560797
247.925417,4.189178,9.912086,-1.595703
248.926269,4.189178,9.912086,-1.595703
249.926425,4.146355,9.926898,-1.560797
250.927214,4.167751,9.921016,-1.578250
251.927401,4.167782,9.917968,-1.578250
252.928389,4.167751,9.921016,-1.578250
253.929398,4.146355,9.926898,-1.560797
255.230364,4.189178,9.912086,-1.595703
255.931270,4.143307,9.926868,-1.560797
256.931185,4.143307,9.926868,-1.560797
257.931407,4.143307,9.926868,-1.560797
258.932329,4.170616,9.939333,-1.578250
259.933460,4.143307,9.926868,-1.560797
260.935023,4.149220,9.945216,-1.560797
261.936413,4.143307,9.926868,-1.560797
