X,Y
3.293000,10.342000
3.293000,10.340000
3.293000,10.340000
3.287000,10.340000
3.282000,10.340000
3.282000,10.340000
3.275000,10.341000
3.275000,10.341000
3.266000,10.344000
3.266000,10.344000
3.258000,10.343000
3.258000,10.343000
3.249000,10.340000
3.238000,10.338000
3.238000,10.338000
3.227000,10.333000
3.217000,10.328000
3.217000,10.328000
3.206000,10.324000
3.206000,10.324000
3.190000,10.319000
3.190000,10.319000
3.170000,10.313000
3.151000,10.308000
3.151000,10.308000
3.132000,10.302000
3.132000,10.302000
3.112000,10.296000
3.092000,10.292000
3.092000,10.292000
3.069000,10.289000
3.069000,10.289000
3.047000,10.287000
3.047000,10.287000
3.025000,10.285000
3.025000,10.285000
3.003000,10.283000
3.003000,10.283000
2.982000,10.280000
2.961000,10.277000
2.961000,10.277000
2.941000,10.274000
2.921000,10.270000
2.921000,10.270000
2.921000,10.270000
2.900000,10.264000
2.900000,10.264000
2.877000,10.259000
2.857000,10.252000
2.857000,10.252000
2.828000,10.248000
2.800000,10.245000
2.800000,10.245000
2.800000,10.245000
2.773000,10.244000
2.747000,10.244000
2.747000,10.244000
2.726000,10.243000
2.726000,10.243000
2.704000,10.242000
2.683000,10.241000
2.683000,10.241000
2.661000,10.240000
2.661000,10.240000
2.642000,10.238000
2.642000,10.238000
2.622000,10.237000
2.594000,10.235000
2.563000,10.234000
2.563000,10.234000
2.563000,10.234000
2.531000,10.235000
2.502000,10.234000
2.502000,10.234000
2.478000,10.236000
2.453000,10.236000
2.453000,10.236000
2.453000,10.236000
2.431000,10.235000
2.409000,10.237000
2.409000,10.237000
2.388000,10.238000
2.388000,10.238000
2.368000,10.239000
2.346000,10.240000
2.325000,10.242000
2.325000,10.242000
2.305000,10.245000
2.305000,10.245000
2.287000,10.250000
2.287000,10.250000
2.269000,10.255000
2.269000,10.255000
2.248000,10.259000
2.248000,10.259000
2.231000,10.261000
2.233000,10.264000
2.233000,10.264000
2.234000,10.267000
2.230000,10.272000
2.230000,10.272000
2.230000,10.272000
2.206000,10.277000
2.157000,10.282000
2.157000,10.282000
2.094000,10.290000
2.033000,10.297000
2.033000,10.297000
1.974000,10.307000
1.974000,10.307000
1.913000,10.315000
1.913000,10.315000
1.855000,10.323000
1.793000,10.328000
1.793000,10.328000
1.741000,10.333000
1.741000,10.333000
1.692000,10.338000
1.648000,10.343000
1.648000,10.343000
1.648000,10.343000
1.605000,10.350000
1.605000,10.350000
1.557000,10.359000
1.504000,10.365000
1.504000,10.365000
1.450000,10.372000
1.395000,10.378000
1.395000,10.378000
1.342000,10.382000
1.342000,10.382000
1.289000,10.387000
1.237000,10.390000
1.237000,10.390000
1.195000,10.396000
1.142000,10.402000
1.142000,10.402000
1.096000,10.410000
1.096000,10.410000
1.046000,10.416000
1.046000,10.416000
0.991000,10.420000
0.991000,10.420000
0.941000,10.422000
0.893000,10.424000
0.842000,10.428000
0.842000,10.428000
0.793000,10.430000
0.793000,10.430000
0.793000,10.430000
0.741000,10.432000
0.690000,10.435000
0.636000,10.437000
0.636000,10.437000
0.580000,10.440000
0.580000,10.440000
0.524000,10.442000
0.467000,10.441000
0.467000,10.441000
0.412000,10.438000
0.412000,10.438000
0.356000,10.437000
0.301000,10.435000
0.301000,10.435000
0.246000,10.435000
0.246000,10.435000
0.192000,10.437000
0.192000,10.437000
0.136000,10.437000
0.079000,10.436000
0.079000,10.436000
0.022000,10.434000
-0.034000,10.431000
-0.034000,10.431000
-0.034000,10.431000
-0.092000,10.427000
