time,yaw
0.000240,-1.550375
0.260360,-1.550375
0.260360,-1.550375
0.399282,-1.550375
0.399282,-1.550375
0.399282,-1.550375
0.399282,-1.550375
0.399282,-1.550375
0.399282,-1.550375
0.659287,-1.550567
0.659287,-1.550567
0.789241,-1.550471
0.789241,-1.550471
0.789241,-1.550471
0.789241,-1.550471
0.789241,-1.550471
0.789241,-1.550471
1.060221,-1.550375
1.060221,-1.550375
1.190375,-1.550471
1.190375,-1.550471
1.190375,-1.550471
1.190375,-1.550471
1.190375,-1.550471
1.190375,-1.550471
1.450196,-1.550759
1.450196,-1.550759
1.580151,-1.550759
1.580151,-1.550759
1.580151,-1.550759
1.580151,-1.550759
1.580151,-1.550759
1.580151,-1.550759
1.849353,-1.550375
1.849353,-1.550375
1.980160,-1.550471
1.980160,-1.550471
1.980160,-1.550471
1.980160,-1.550471
1.980160,-1.550471
1.980160,-1.550471
2.240244,-1.550567
2.240244,-1.550567
2.369123,-1.550663
2.369123,-1.550663
2.509575,-1.550567
2.509575,-1.550567
2.509575,-1.550567
2.509575,-1.550567
2.641182,-1.550375
2.641182,-1.550375
2.769093,-1.550471
2.769093,-1.550471
2.899095,-1.550567
2.899095,-1.550567
3.029094,-1.550567
3.029094,-1.550567
3.029094,-1.550567
3.029094,-1.550567
3.029094,-1.550567
3.029094,-1.550567
3.300070,-1.550567
3.300070,-1.550567
3.430047,-1.550375
3.430047,-1.550375
3.430047,-1.550375
3.430047,-1.550375
3.560053,-1.550375
3.560053,-1.550375
3.690010,-1.550375
3.690010,-1.550375
3.690010,-1.550375
3.690010,-1.550375
3.690010,-1.550375
3.690010,-1.550375
3.959031,-1.550375
3.959031,-1.550375
4.090069,-1.550375
4.090069,-1.550375
4.090069,-1.550375
4.090069,-1.550375
4.090069,-1.550375
4.090069,-1.550375
4.349960,-1.550279
4.349960,-1.550279
4.489965,-1.550375
4.489965,-1.550375
4.489965,-1.550375
4.489965,-1.550375
4.489965,-1.550375
4.489965,-1.550375
4.748978,-1.550663
4.748978,-1.550663
4.748978,-1.550663
4.748978,-1.550663
4.748978,-1.550663
5.010306,-1.550471
5.010306,-1.550471
5.010306,-1.550471
5.010306,-1.550471
5.148913,-1.550279
5.148913,-1.550279
5.148913,-1.550279
5.280140,-1.550184
5.280140,-1.550184
5.280140,-1.550184
5.409917,-1.550471
5.409917,-1.550471
5.409917,-1.550471
5.409917,-1.550471
5.539902,-1.550567
5.539902,-1.550567
5.669923,-1.550567
5.669923,-1.550567
5.669923,-1.550567
5.799911,-1.550471
5.799911,-1.550471
5.799911,-1.550471
5.799911,-1.550471
5.939887,-1.550375
5.939887,-1.550375
6.069892,-1.550375
6.069892,-1.550375
6.069892,-1.550375
6.199826,-1.550471
6.199826,-1.550471
6.329822,-1.550567
6.329822,-1.550567
6.329822,-1.550567
6.329822,-1.550567
6.459881,-1.550567
6.459881,-1.550567
6.459881,-1.550567
6.599832,-1.550471
6.599832,-1.550471
6.729862,-1.550279
6.729862,-1.550279
6.729862,-1.550279
6.729862,-1.550279
6.858850,-1.550471
6.858850,-1.550471
6.990113,-1.550567
6.990113,-1.550567
7.118765,-1.550663
7.118765,-1.550663
7.118765,-1.550663
7.118765,-1.550663
7.249781,-1.550759
7.249781,-1.550759
7.388812,-1.550663
7.388812,-1.550663
7.519761,-1.550471
7.519761,-1.550471
7.519761,-1.550471
7.519761,-1.550471
7.649722,-1.550375
7.649722,-1.550375
7.649722,-1.550375
7.649722,-1.550375
7.919766,-1.550471
7.919766,-1.550471
7.919766,-1.550471
7.919766,-1.550471
8.049756,-1.550567
8.049756,-1.550567
8.049756,-1.550567
8.049756,-1.550567
8.309733,-1.550471
8.309733,-1.550471
8.309733,-1.550471
8.309733,-1.550471
8.438732,-1.550279
8.438732,-1.550279
8.438732,-1.550279
8.438732,-1.550279
8.708795,-1.550279
8.708795,-1.550279
8.708795,-1.550279
8.708795,-1.550279
8.838699,-1.550375
8.838699,-1.550375
8.968700,-1.550471
8.968700,-1.550471
9.099701,-1.550567
9.099701,-1.550567
9.230250,-1.550471
9.230250,-1.550471
9.230250,-1.550471
9.230250,-1.550471
9.359660,-1.550375
9.359660,-1.550375
9.498606,-1.550375
9.498606,-1.550375
9.628616,-1.550375
9.628616,-1.550375
9.628616,-1.550375
9.628616,-1.550375
9.758644,-1.550471
9.758644,-1.550471
9.888637,-1.550567
9.888637,-1.550567
10.018642,-1.550567
10.018642,-1.550567
10.018642,-1.550567
10.018642,-1.550567
10.158617,-1.550567
10.158617,-1.550567
10.288609,-1.550471
10.288609,-1.550471
10.418766,-1.550471
10.418766,-1.550471
10.418766,-1.550471
10.418766,-1.550471
10.549589,-1.550471
10.549589,-1.550471
10.549589,-1.550471
10.679582,-1.550471
10.679582,-1.550471
10.819572,-1.550375
10.819572,-1.550375
10.819572,-1.550375
10.819572,-1.550375
10.949574,-1.550375
10.949574,-1.550375
11.079612,-1.550375
11.079612,-1.550375
11.208549,-1.550375
11.208549,-1.550375
11.208549,-1.550375
11.208549,-1.550375
11.338538,-1.550471
11.338538,-1.550471
11.478532,-1.550471
11.478532,-1.550471
11.609522,-1.550567
11.609522,-1.550567
11.609522,-1.550567
11.609522,-1.550567
11.739525,-1.550375
11.739525,-1.550375
11.739525,-1.550375
11.739525,-1.550375
11.999500,-1.550375
11.999500,-1.550375
11.999500,-1.550375
11.999500,-1.550375
12.139484,-1.550279
12.139484,-1.550279
12.139484,-1.550279
12.139484,-1.550279
12.398562,-1.550567
12.398562,-1.550567
12.529490,-1.550567
12.529490,-1.550567
12.529490,-1.550567
12.529490,-1.550567
12.658465,-1.550663
12.658465,-1.550663
12.798443,-1.550759
12.798443,-1.550759
12.929476,-1.550759
12.929476,-1.550759
12.929476,-1.550759
12.929476,-1.550759
13.058614,-1.550759
13.058614,-1.550759
13.189429,-1.550663
13.189429,-1.550663
13.319414,-1.550471
13.319414,-1.550471
13.319414,-1.550471
13.319414,-1.550471
13.448408,-1.550375
13.448408,-1.550375
13.448408,-1.550375
13.589355,-1.550375
13.589355,-1.550375
13.719396,-1.550471
13.719396,-1.550471
13.719396,-1.550471
13.719396,-1.550471
13.848392,-1.550567
13.848392,-1.550567
13.979634,-1.550663
13.979634,-1.550663
14.108359,-1.550471
14.108359,-1.550471
14.108359,-1.550471
14.108359,-1.550471
14.248368,-1.550279
14.248368,-1.550279
14.379338,-1.550184
14.379338,-1.550184
14.509369,-1.550279
14.509369,-1.550279
14.638539,-1.550375
14.638539,-1.550375
14.638539,-1.550375
14.638539,-1.550375
14.768766,-1.550471
14.768766,-1.550471
14.768766,-1.550471
14.768766,-1.550471
15.038380,-1.550471
15.038380,-1.550471
15.038380,-1.550471
15.038380,-1.550471
15.169297,-1.550279
15.169297,-1.550279
15.299283,-1.550279
15.299283,-1.550279
15.428307,-1.550375
15.428307,-1.550375
15.428307,-1.550375
15.428307,-1.550375
15.560270,-1.550471
15.560270,-1.550471
15.699260,-1.550567
15.699260,-1.550567
15.829254,-1.550567
15.829254,-1.550567
15.829254,-1.550567
15.829254,-1.550567
15.959245,-1.550471
15.959245,-1.550471
16.089242,-1.550375
16.089242,-1.550375
16.218224,-1.550375
16.218224,-1.550375
16.218224,-1.550375
16.218224,-1.550375
16.218224,-1.550375
16.218224,-1.550375
16.489214,-1.550567
16.489214,-1.550567
16.618188,-1.550375
16.618188,-1.550375
16.618188,-1.550375
16.748200,-1.550471
