X,Y
2.821000,26.511999
2.819000,26.511999
2.818000,26.511999
2.818000,26.511999
2.818000,26.511000
2.820000,26.507999
2.820000,26.507999
2.822000,26.500000
2.822000,26.500000
2.824000,26.479000
2.825000,26.447001
2.825000,26.447001
2.825000,26.403999
2.828000,26.351999
2.828000,26.351999
2.832000,26.287001
2.840000,26.209999
2.840000,26.209999
2.849000,26.125000
2.849000,26.125000
2.856000,25.993999
2.856000,25.993999
2.864000,25.902000
2.864000,25.902000
2.867000,25.792999
2.872000,25.686001
2.872000,25.686001
2.878000,25.580999
2.878000,25.580999
2.884000,25.461000
2.892000,25.337999
2.892000,25.337999
2.902000,25.207001
2.902000,25.207001
2.912000,25.070000
2.912000,25.070000
2.912000,25.070000
2.936000,24.738001
2.936000,24.738001
2.945000,24.566000
2.945000,24.566000
2.955000,24.372000
2.955000,24.372000
2.964000,24.235001
2.964000,24.235001
2.969000,24.049000
2.969000,24.049000
2.977000,23.868999
2.983000,23.669001
2.983000,23.669001
2.989000,23.414000
2.998000,23.184000
2.998000,23.184000
3.005000,22.961000
3.005000,22.961000
3.010000,22.718000
3.018000,22.493000
3.018000,22.493000
3.025000,22.243000
3.032000,22.006001
3.032000,22.006001
3.039000,21.723000
3.039000,21.723000
3.044000,21.493000
3.044000,21.493000
3.052000,21.268999
3.061000,21.035999
3.061000,21.035999
3.071000,20.806000
3.071000,20.806000
3.080000,20.584000
3.088000,20.339001
3.088000,20.339001
3.094000,20.096001
3.100000,19.846001
3.100000,19.846001
3.109000,19.610001
3.118000,19.370001
3.118000,19.370001
3.118000,19.370001
3.136000,19.156000
3.147000,18.923000
3.156000,18.688999
3.156000,18.688999
3.163000,18.441999
3.166000,18.205999
3.166000,18.205999
3.174000,17.951000
3.181000,17.712000
3.181000,17.712000
3.181000,17.712000
3.189000,17.525000
3.189000,17.525000
3.190000,17.337000
3.193000,17.156000
3.195000,16.972000
3.195000,16.972000
3.194000,16.790001
3.194000,16.790001
3.200000,16.613001
3.200000,16.613001
3.201000,16.430000
